date,incidence,Rt,lambda1,lambda1_std,mobility_retail,mobility_retail_std
2020-04-12,29592,NA,NA,NA,-89,-2.96708112943422
2020-04-13,28661,NA,NA,NA,-78,-2.4495478879920105
2020-04-14,27729,NA,NA,NA,-71,-2.120208552528786
2020-04-15,26820,NA,NA,NA,-72,-2.1672570290235322
2020-04-16,25734,NA,NA,NA,-73,-2.2143055055182788
2020-04-17,24645,NA,NA,NA,-75,-2.3084024585077714
2020-04-18,23534,NA,NA,NA,-81,-2.5906933174762496
2020-04-19,22411,NA,NA,NA,-80,-2.543644840981503
2020-04-20,21212,NA,NA,NA,-71,-2.120208552528786
2020-04-21,20077,NA,NA,NA,-72,-2.1672570290235322
2020-04-22,18986,NA,NA,NA,-72,-2.1672570290235322
2020-04-23,17944,NA,NA,NA,-72,-2.1672570290235322
2020-04-24,16922,NA,NA,NA,-73,-2.2143055055182788
2020-04-25,15961,NA,NA,NA,-78,-2.4495478879920105
2020-04-26,15053,0.778645,NA,NA,-78,-2.4495478879920105
2020-04-27,14223,0.7771035,NA,NA,-69,-2.0261115995392935
2020-04-28,13445,0.774203,NA,NA,-74,-2.2613539820130253
2020-04-29,12722,0.7730655,NA,NA,-73,-2.2143055055182788
2020-04-30,12052,0.773297,NA,NA,-74,-2.2613539820130253
2020-05-01,11447,0.7742055,NA,NA,-74,-2.2613539820130253
2020-05-02,10894,0.7766655,NA,NA,-78,-2.4495478879920105
2020-05-03,10405,0.7799595,NA,NA,-79,-2.4965963644867566
2020-05-04,9946,0.7839625,NA,NA,-69,-2.0261115995392935
2020-05-05,9518,0.787295,2.2146166814148005,-1.355316516925658,-70,-2.0731600760340396
2020-05-06,9127,0.7919155,2.2146166814148005,-1.355316516925658,-69,-2.0261115995392935
2020-05-07,8757,0.794451,2.2146166814148005,-1.355316516925658,-67,-1.9320146465498007
2020-05-08,8412,0.798978,2.2146166814148005,-1.355316516925658,-75,-2.3084024585077714
2020-05-09,8085,0.801759,2.2146166814148005,-1.355316516925658,-78,-2.4495478879920105
2020-05-10,7795,0.8038065,2.2146166814148005,-1.355316516925658,-80,-2.543644840981503
2020-05-11,7519,0.805372,2.2146166814148005,-1.355316516925658,-67,-1.9320146465498007
2020-05-12,7250,0.806026,2.2146166814148005,-1.355316516925658,-68,-1.979063123044547
2020-05-13,7000,0.8068725,2.484706002407445,-1.2068103460694333,-68,-1.979063123044547
2020-05-14,6751,0.807192,2.484706002407445,-1.2068103460694333,-67,-1.9320146465498007
2020-05-15,6515,0.80609,2.484706002407445,-1.2068103460694333,-69,-2.0261115995392935
2020-05-16,6286,0.8044955,2.484706002407445,-1.2068103460694333,-74,-2.2613539820130253
2020-05-17,6050,0.8024965,2.484706002407445,-1.2068103460694333,-74,-2.2613539820130253
2020-05-18,5832,0.7998125,2.484706002407445,-1.2068103460694333,-63,-1.7438207405708153
2020-05-19,5624,0.798589,2.484706002407445,-1.2068103460694333,-64,-1.7908692170655618
2020-05-20,5417,0.796846,3.006532162881494,-0.9198889503630204,-64,-1.7908692170655618
2020-05-21,5228,0.795319,3.006532162881494,-0.9198889503630204,-64,-1.7908692170655618
2020-05-22,5046,0.793064,3.006532162881494,-0.9198889503630204,-66,-1.8849661700550544
2020-05-23,4876,0.7913665,3.006532162881494,-0.9198889503630204,-72,-2.1672570290235322
2020-05-24,4721,0.7905625,3.006532162881494,-0.9198889503630204,-71,-2.120208552528786
2020-05-25,4572,0.789522,3.006532162881494,-0.9198889503630204,-64,-1.7908692170655618
2020-05-26,4431,0.788938,3.006532162881494,-0.9198889503630204,-60,-1.6026753110865763
2020-05-27,4298,0.789946,2.730817236280533,-1.0714883095932541,-61,-1.6497237875813227
2020-05-28,4180,0.790934,2.730817236280533,-1.0714883095932541,-60,-1.6026753110865763
2020-05-29,4056,0.7921435,2.730817236280533,-1.0714883095932541,-62,-1.696772264076069
2020-05-30,3956,0.793672,2.730817236280533,-1.0714883095932541,-69,-2.0261115995392935
2020-05-31,3866,0.794712,2.730817236280533,-1.0714883095932541,-67,-1.9320146465498007
2020-06-01,3783,0.796505,2.730817236280533,-1.0714883095932541,-56,-1.414481405107591
2020-06-02,3703,0.798103,2.730817236280533,-1.0714883095932541,-59,-1.55562683459183
2020-06-03,3633,0.8010145,2.956075137538584,-0.9476322894885061,-62,-1.696772264076069
2020-06-04,3565,0.8033805,2.956075137538584,-0.9476322894885061,-61,-1.6497237875813227
2020-06-05,3507,0.805432,2.956075137538584,-0.9476322894885061,-63,-1.7438207405708153
2020-06-06,3454,0.8075435,2.956075137538584,-0.9476322894885061,-70,-2.0731600760340396
2020-06-07,3404,0.809766,2.956075137538584,-0.9476322894885061,-67,-1.9320146465498007
2020-06-08,3350,0.8116695,2.956075137538584,-0.9476322894885061,-56,-1.414481405107591
2020-06-09,3312,0.8128075,2.956075137538584,-0.9476322894885061,-58,-1.5085783580970837
2020-06-10,3274,0.814505,2.2918040055291904,-1.3128757647302813,-61,-1.6497237875813227
2020-06-11,3244,0.8161035,2.2918040055291904,-1.3128757647302813,-59,-1.55562683459183
2020-06-12,3220,0.818188,2.2918040055291904,-1.3128757647302813,-61,-1.6497237875813227
2020-06-13,3197,0.82147,2.2918040055291904,-1.3128757647302813,-65,-1.837917693560308
2020-06-14,3176,0.8237,2.2918040055291904,-1.3128757647302813,-63,-1.7438207405708153
2020-06-15,3158,0.827293,2.2918040055291904,-1.3128757647302813,-46,-0.9439966401601276
2020-06-16,3144,0.8301135,2.2918040055291904,-1.3128757647302813,-50,-1.1321905461391129
2020-06-17,3137,0.8329055,2.755703655242894,-1.057804737163063,-52,-1.2262874991286057
2020-06-18,3135,0.836091,2.755703655242894,-1.057804737163063,-54,-1.3203844521180983
2020-06-19,3137,0.8398565,2.755703655242894,-1.057804737163063,-53,-1.273335975623352
2020-06-20,3139,0.8437165,2.755703655242894,-1.057804737163063,-57,-1.4615298816023374
2020-06-21,3146,0.846964,2.755703655242894,-1.057804737163063,-58,-1.5085783580970837
2020-06-22,3152,0.8504615,2.755703655242894,-1.057804737163063,-45,-0.8969481636653812
2020-06-23,3167,0.8532145,2.755703655242894,-1.057804737163063,-48,-1.0380935931496202
2020-06-24,3183,0.8562055,2.7605124303300403,-1.0551606756649028,-49,-1.0851420696443665
2020-06-25,3201,0.858874,2.7605124303300403,-1.0551606756649028,-49,-1.0851420696443665
2020-06-26,3219,0.8611195,2.7605124303300403,-1.0551606756649028,-51,-1.1792390226338594
2020-06-27,3232,0.862543,2.7605124303300403,-1.0551606756649028,-59,-1.55562683459183
2020-06-28,3246,0.862806,2.7605124303300403,-1.0551606756649028,-56,-1.414481405107591
2020-06-29,3257,0.862397,2.7605124303300403,-1.0551606756649028,-45,-0.8969481636653812
2020-06-30,3267,0.860518,2.7605124303300403,-1.0551606756649028,-45,-0.8969481636653812
2020-07-01,3268,0.8594365,2.834056976712091,-1.014722871865715,-47,-0.9910451166548739
2020-07-02,3272,0.858338,2.834056976712091,-1.014722871865715,-47,-0.9910451166548739
2020-07-03,3270,0.856305,2.834056976712091,-1.014722871865715,-49,-1.0851420696443665
2020-07-04,3265,0.8538585,2.834056976712091,-1.014722871865715,-51,-1.1792390226338594
2020-07-05,3258,0.8521195,2.834056976712091,-1.014722871865715,-48,-1.0380935931496202
2020-07-06,3252,0.850256,2.834056976712091,-1.014722871865715,-36,-0.4735118752126642
2020-07-07,3243,0.849277,2.834056976712091,-1.014722871865715,-40,-0.6617057811916496
2020-07-08,3243,0.848704,2.834056976712091,-1.014722871865715,-42,-0.7558027341811422
2020-07-09,3237,0.8485025,2.9154710552458423,-0.9699580769734186,-42,-0.7558027341811422
2020-07-10,3239,0.8491055,2.9154710552458423,-0.9699580769734186,-41,-0.7087542576863959
2020-07-11,3239,0.849474,2.9154710552458423,-0.9699580769734186,-47,-0.9910451166548739
2020-07-12,3243,0.850795,2.9154710552458423,-0.9699580769734186,-43,-0.8028512106758886
2020-07-13,3253,0.8517945,2.9154710552458423,-0.9699580769734186,-35,-0.42646339871791783
2020-07-14,3258,0.852993,2.9154710552458423,-0.9699580769734186,-36,-0.4735118752126642
2020-07-15,3261,0.854008,2.9154710552458423,-0.9699580769734186,-33,-0.33236644572842516
2020-07-16,3265,0.854449,2.9154710552458423,-0.9699580769734186,-31,-0.2382694927389325
2020-07-17,3274,0.8555155,2.9154710552458423,-0.9699580769734186,-33,-0.33236644572842516
2020-07-18,3277,0.8560315,2.9154710552458423,-0.9699580769734186,-40,-0.6617057811916496
2020-07-19,3278,0.855733,2.9154710552458423,-0.9699580769734186,-35,-0.42646339871791783
2020-07-20,3272,0.855024,2.9154710552458423,-0.9699580769734186,-25,0.044021366229545535
2020-07-21,3273,0.8533495,2.9154710552458423,-0.9699580769734186,-28,-0.09712406325469349
2020-07-22,3265,0.8516225,2.9154710552458423,-0.9699580769734186,-29,-0.14417253974943983
2020-07-23,3257,0.84936,2.9154710552458423,-0.9699580769734186,-30,-0.19122101624418616
2020-07-24,3248,0.846105,2.9154710552458423,-0.9699580769734186,-32,-0.28531796923367886
2020-07-25,3232,0.842943,2.9154710552458423,-0.9699580769734186,-40,-0.6617057811916496
2020-07-26,3213,0.840328,2.9154710552458423,-0.9699580769734186,-33,-0.33236644572842516
2020-07-27,3193,0.8385475,2.9154710552458423,-0.9699580769734186,-29,-0.14417253974943983
2020-07-28,3177,0.8375415,2.9154710552458423,-0.9699580769734186,-26,-0.0030271102652008027
2020-07-29,3164,0.8372325,2.9154710552458423,-0.9699580769734186,-25,0.044021366229545535
2020-07-30,3157,0.8373315,2.9154710552458423,-0.9699580769734186,-23,0.13811831921903822
2020-07-31,3151,0.838703,2.9154710552458423,-0.9699580769734186,-29,-0.14417253974943983
2020-08-01,3153,0.841836,3.0439109099328983,-0.8993365842953571,-36,-0.4735118752126642
2020-08-02,3163,0.846002,3.0439109099328983,-0.8993365842953571,-28,-0.09712406325469349
2020-08-03,3187,0.8526445,3.0439109099328983,-0.8993365842953571,-15,0.5145061311770089
2020-08-04,3218,0.861425,3.0439109099328983,-0.8993365842953571,-19,0.32631222519802355
2020-08-05,3267,0.8711785,3.0439109099328983,-0.8993365842953571,-16,0.4674576546822626
2020-08-06,3328,0.882636,3.0439109099328983,-0.8993365842953571,-23,0.13811831921903822
2020-08-07,3405,0.8951655,3.0439109099328983,-0.8993365842953571,-28,-0.09712406325469349
2020-08-08,3496,0.908649,3.0439109099328983,-0.8993365842953571,-35,-0.42646339871791783
2020-08-09,3601,0.9226775,4.686176363277633,0.003648224986793706,-28,-0.09712406325469349
2020-08-10,3718,0.937553,4.686176363277633,0.003648224986793706,-11,0.7027000371559943
2020-08-11,3854,0.9526105,4.686176363277633,0.003648224986793706,-13,0.6086030841665017
2020-08-12,4002,0.9673365,4.686176363277633,0.003648224986793706,-14,0.5615546076717552
2020-08-13,4169,0.9814865,4.706642667461279,0.014901437274941389,-24,0.09106984272429187
2020-08-14,4348,0.993898,4.706642667461279,0.014901437274941389,-26,-0.0030271102652008027
2020-08-15,4540,1.005135,4.706642667461279,0.014901437274941389,-33,-0.33236644572842516
2020-08-16,4745,1.01648,4.706642667461279,0.014901437274941389,-29,-0.14417253974943983
2020-08-17,4959,1.025565,4.706642667461279,0.014901437274941389,-9,0.796796990145487
2020-08-18,5190,1.034695,4.706642667461279,0.014901437274941389,-11,0.7027000371559943
2020-08-19,5429,1.04246,4.706642667461279,0.014901437274941389,-15,0.5145061311770089
2020-08-20,5681,1.04891,4.706642667461279,0.014901437274941389,-19,0.32631222519802355
2020-08-21,5950,1.055215,4.706642667461279,0.014901437274941389,-26,-0.0030271102652008027
2020-08-22,6240,1.062145,4.706642667461279,0.014901437274941389,-31,-0.2382694927389325
2020-08-23,6545,1.06929,4.706642667461279,0.014901437274941389,-26,-0.0030271102652008027
2020-08-24,6864,1.07629,4.436296694305159,-0.13374585145258475,-3,1.079087849113965
2020-08-25,7201,1.082685,4.436296694305159,-0.13374585145258475,-13,0.6086030841665017
2020-08-26,7561,1.08841,4.436296694305159,-0.13374585145258475,-3,1.079087849113965
2020-08-27,7944,1.093575,4.436296694305159,-0.13374585145258475,-21,0.2322152722085309
2020-08-28,8347,1.09857,4.436296694305159,-0.13374585145258475,-20,0.27926374870327725
2020-08-29,8764,1.103855,4.3996540282809224,-0.15389349002349667,-27,-0.050075586759947145
2020-08-30,9200,1.1081,4.3996540282809224,-0.15389349002349667,-15,0.5145061311770089
2020-08-31,9654,1.11135,4.3996540282809224,-0.15389349002349667,3,1.361378708082443
2020-09-01,10124,1.113595,4.3996540282809224,-0.15389349002349667,-15,0.5145061311770089
2020-09-02,10623,1.11533,4.3996540282809224,-0.15389349002349667,-20,0.27926374870327725
