term,n_origins,median_without_smooth,median_with_smooth,n_shrunk,median_ratio
contacts,27,0.06808966972013526,0.00285364127848666,16,0.04191004729815557
mobility,27,0.23771561107674816,0.1732759764995193,17,0.7289213178497391
