model,lag_1,lag_7,lag_14
baseline,0.9839190828621317,0.7384775575351851,0.48416597527038163
contacts,0.9735993480945907,0.5021986932374758,0.14989017959068887
mobility,0.9809796930074866,0.5718955350753087,0.2991651468990479
combined,0.9801800834044638,0.5241501945759165,0.21909158619649602
