model,term,estimate_poisson,estimate_nb,se_poisson,se_nb,se_ratio
contacts,contacts,0.13253516715971994,0.13997114044968223,3.067271083853326e-4,0.006218058663238722,20.272282733572904
mobility,mobility,0.153914568494344,0.17427919307664894,3.314569035665247e-4,0.006473586520521655,19.530703542043984
combined,contacts,0.039020244205343974,0.061202087784670366,5.606271042911666e-4,0.008301475542010764,14.807481619189286
combined,mobility,0.11946241537723765,0.11630512104457007,5.971623458274233e-4,0.009746611792810812,16.32154448604087
