model,period,crps,rel_crps,overprediction,underprediction,dispersion,bias,n_origins
baseline,Summer relaxation,0.3931056553375504,1,0.03285295055840464,0.34680112337652935,0.013451581402616356,-0.6991666666666667,15
contacts,Summer relaxation,0.25366560250723125,0.6452860676588708,0.06841361868635111,0.17624765107441093,0.009004332746469227,-0.4509999999999998,15
mobility,Summer relaxation,0.27083343972755924,0.688958390830071,0.07462469435753624,0.1869937480059133,0.009214997364109691,-0.05266666666666649,15
combined,Summer relaxation,0.23214533027690565,0.5905418228531157,0.08639605696126944,0.13869794011087713,0.007051333204759026,0.029333333333333187,15
baseline,Autumn tiers,0.6371431507270784,1,0.6213626611160824,0,0.015780489610996047,1,4
contacts,Autumn tiers,0.38570281651126975,0.6053628859874323,0.37316774280527915,1.8544675026407398e-4,0.012349626955726554,0.905,4
mobility,Autumn tiers,0.39830300457652584,0.6251389567980145,0.38360670980744654,0.006062998119489789,0.008633296649589518,0.75875,4
combined,Autumn tiers,0.35455029103662455,0.5564688102383712,0.33806816459737926,0.0060335539306448395,0.010448572508600448,0.7575000000000001,4
baseline,Lockdown 2,0.3666116936586587,1,0.14481039434702017,0.20036768870348082,0.02143361060815773,-0.14687500000000003,4
contacts,Lockdown 2,0.3846221444398867,1.04912677662158,0.1323444288648809,0.23363941333134544,0.018638302243660344,-0.26124999999999987,4
mobility,Lockdown 2,0.6454046398196223,1.7604584114017363,0,0.6294327362217649,0.015971903597857395,-0.995,4
combined,Lockdown 2,0.5644275252068256,1.5395786194761898,0.0033281224491692085,0.5480136139065419,0.013085788851114485,-0.82375,4
baseline,Winter tiers,0.34658600631170783,1,0.17742317474777283,0.1436688000194199,0.02549403154451511,0.16562499999999997,4
contacts,Winter tiers,0.22332695229247312,0.6443622887982972,0.033859433871099326,0.1532128434621662,0.0362546749592076,-0.08875000000000001,4
mobility,Winter tiers,0.45997150323993863,1.327149668086298,0.2100353986380108,0.2269126899158257,0.02302341468610215,-0.17000000000000004,4
combined,Winter tiers,0.4225538002769115,1.219188866779811,0.17203404525444493,0.2214311257355674,0.02908862928689918,-0.12312500000000005,4
