model,crps,rel_crps,overprediction,underprediction,dispersion,bias,interval_coverage_50,interval_coverage_90
baseline,0.418442527142705,1,0.15804367330442862,0.24363565946442758,0.01676319437384892,-0.23749999999999985,0.046296296296296294,0.12037037037037036
contacts,0.28813302557714765,0.688584469519952,0.11791447046149275,0.15525428075152836,0.014964274364126534,-0.16833333333333353,0.08333333333333333,0.23148148148148148
mobility,0.37323030320213835,0.8919511736789899,0.12940514256092123,0.23164962655988966,0.012175534081327467,-0.08944444444444459,0.05555555555555555,0.09259259259259259
combined,0.32771505260129746,0.7831781698649717,0.12406156235640797,0.19194008429459905,0.011713405950290438,-0.01175925925925943,0.037037037037037035,0.10185185185185185
