origin,model,lag_1,lag_7,lag_14
2020-07-01,baseline,0.9576009732848033,0.6659601821221134,0.30387501107661
2020-07-01,contacts,0.9614302920124246,0.5724626168217339,-0.005880365500443684
2020-07-01,mobility,0.9525082680970025,0.15560918795471979,-0.20600091915359506
2020-07-01,combined,0.8408215940221283,-0.26570753249381435,-0.11401472360622342
2020-08-26,baseline,0.9628755885212334,0.6125407802760862,0.10161742142622061
2020-08-26,contacts,0.7388193642133154,-0.2905001460213655,-0.04277412656807692
2020-08-26,mobility,0.9569533495766226,0.5016657852826419,-0.1330212249010743
2020-08-26,combined,0.7472917776435357,-0.23404075033634095,-0.026678278992668093
2020-10-21,baseline,0.9333859360594381,0.438002121325473,0.08376659807656131
2020-10-21,contacts,0.9215629825416372,0.42009645766989656,0.22922371166223304
2020-10-21,mobility,0.7727591131861524,0.03661178648331767,0.030554904802599987
2020-10-21,combined,0.7179894725528749,-0.08667391458660816,-0.014285047856462802
2020-12-16,baseline,0.9315640567531066,0.3284120186645419,0.006032759062712254
2020-12-16,contacts,0.9392724606622213,0.2471650694325094,-0.1953010760669267
2020-12-16,mobility,0.923082555840478,0.25925032631733835,0.22864889280796197
2020-12-16,combined,0.92167400749962,0.06011727254311357,-0.06443771804500237
