model,horizon,crps,rel_crps,overprediction,underprediction,dispersion,bias
baseline,1,67196,1,36831,25502,4862,-0.23074074074074077
baseline,2,134995,1,80682,46570,7743,-0.25370370370370354
baseline,3,218482,1,139377,68279,10826,-0.22629629629629633
baseline,4,318441,1,218677,84297,15467,-0.23925925925925934
contacts,1,43458,0.6467348534643711,19359,19891,4209,-0.19074074074074082
contacts,2,92339,0.6840178315203777,47691,38027,6621,-0.1951851851851852
contacts,3,160010,0.7323685680447533,91267,58771,9971,-0.15296296296296283
contacts,4,242634,0.7619417931478487,155046,74166,13422,-0.13444444444444448
mobility,1,54066,0.8046073846548806,21428,29745,2893,-0.18740740740740727
mobility,2,125706,0.9311939743518496,58973,61923,4810,-0.12814814814814812
mobility,3,216113,0.9891574182018417,115756,93385,6972,0.0018518518518519356
mobility,4,316855,0.9950187076262567,192995,113872,9988,-0.04407407407407404
combined,1,44225,0.6581529661404587,15453,25742,3029,-0.04592592592592596
combined,2,111713,0.8275367861379908,48527,57874,5312,-0.014074074074074064
combined,3,197241,0.9027780847570898,102315,86756,8170,3.7037037037044473e-4
combined,4,292647,0.9189990491879849,174472,106376,11799,0.012592592592592603
