model,horizon,crps,rel_crps,overprediction,underprediction,dispersion,bias,interval_coverage_50,interval_coverage_90
baseline,1,0.16397276008565903,1,0.05793491750996698,0.09525802415932519,0.010779818416366847,-0.23074074074074077,0.037037037037037035,0.14814814814814814
baseline,2,0.32309942881547027,1,0.11829513114155026,0.18987037354605274,0.01493392412786728,-0.25370370370370354,0,0.1111111111111111
baseline,3,0.5005832890802947,1,0.18736713103889774,0.29466107755464427,0.01855508048675274,-0.22629629629629633,0.07407407407407407,0.1111111111111111
baseline,4,0.686114630589396,1,0.2685775135272993,0.3947531625976879,0.02278395446440882,-0.23925925925925934,0.07407407407407407,0.1111111111111111
contacts,1,0.09751090191150215,0.594677444354554,0.036754299286198035,0.05231602408467787,0.00844057854062623,-0.19074074074074082,0.1111111111111111,0.2962962962962963
contacts,2,0.20740636380773414,0.6419273613949619,0.08183459660214248,0.11296898903565583,0.012602778169935816,-0.1951851851851852,0.14814814814814814,0.2962962962962963
contacts,3,0.34897294774802906,0.6971326357881136,0.14194067458346404,0.18965667775183756,0.01737559541272747,-0.15296296296296283,0.037037037037037035,0.18518518518518517
contacts,4,0.4986418888413253,0.7267617780034435,0.2111283113741664,0.2660754321339423,0.021438145333216616,-0.13444444444444448,0.037037037037037035,0.14814814814814814
mobility,1,0.11726984638120057,0.715178827995205,0.03442325025451154,0.07603339258291662,0.006813203543772413,-0.18740740740740727,0.07407407407407407,0.07407407407407407
mobility,2,0.2742756985519345,0.8488894565907136,0.08934836085340962,0.1744356478061272,0.010491689892397729,-0.12814814814814812,0.1111111111111111,0.14814814814814814
mobility,3,0.45989062077437615,0.918709495115824,0.1585883438670035,0.2873868133319772,0.013915463575395495,0.0018518518518519356,0.037037037037037035,0.07407407407407407
mobility,4,0.6414850471010423,0.9349531674466475,0.23526061526876024,0.38874265251853773,0.017481779313744235,-0.04407407407407404,0,0.07407407407407407
combined,1,0.09627767742508543,0.5871565336510173,0.030228660915347132,0.05987037615078807,0.00617864035895022,-0.04592592592592596,0.037037037037037035,0.14814814814814814
combined,2,0.23597417772820103,0.7303453880847666,0.08245930714511218,0.1437553968003783,0.009759473782710556,-0.014074074074074064,0.037037037037037035,0.14814814814814814
combined,3,0.40520823378729326,0.8094721550369152,0.1535713693504443,0.238077341907084,0.013559522529764948,3.7037037037044473e-4,0.037037037037037035,0.07407407407407407
combined,4,0.5734001214646101,0.8357205864740702,0.2299869120147283,0.3260572223201458,0.017355987129736027,0.012592592592592603,0.037037037037037035,0.037037037037037035
