series,n,corr,mean_diff,sd_ratio
naive,270,0.9046953130690814,0.0843048565190015,1.343941534853493
fitted,270,0.836699676298389,0.08397498591128762,1.1466581656264097
"naive, inc2prev GI",270,0.8971215223220966,0.06170112935913237,0.8672708334782382
