model,horizon,crps,overprediction,underprediction,dispersion,bias,interval_coverage_50,interval_coverage_90
baseline,1,0.1776968424083945,0.07596863408200283,0.08673569615481685,0.014992512171574823,-0.035285714285714295,0.11428571428571428,0.21428571428571427
baseline,2,0.3443227274340561,0.1524006714204934,0.17123661897466824,0.020685437038894416,-0.03685714285714294,0.04285714285714286,0.14285714285714285
baseline,3,0.5084007665599517,0.2232092942608918,0.2592176365679008,0.025973835731159144,0.011142857142856998,0.08571428571428572,0.18571428571428572
baseline,4,0.6622481767799576,0.2892053007902608,0.3420156616237384,0.03102721436595832,0.05628571428571438,0.08571428571428572,0.18571428571428572
contacts,1,0.13555620742248845,0.06678119708726486,0.05594852364120365,0.012826486694019923,0.11828571428571422,0.17142857142857143,0.2571428571428571
contacts,2,0.2697535767721378,0.1354280076447616,0.11579784900505255,0.018527720122323652,0.10728571428571433,0.14285714285714285,0.2714285714285714
contacts,3,0.41979298919065866,0.21133116141367683,0.18464659851323403,0.02381522926374781,0.10428571428571433,0.05714285714285714,0.2
contacts,4,0.5794770209517278,0.29220287603865436,0.25789324621595855,0.02938089869711482,0.0945714285714286,0.05714285714285714,0.14285714285714285
mobility,1,0.14278705412309525,0.06519483492975604,0.06580426220103812,0.011787956992301082,0.04900000000000002,0.1,0.21428571428571427
mobility,2,0.29360199904170203,0.13702554148685964,0.13925472902057748,0.01732172853426494,0.07357142857142861,0.11428571428571428,0.14285714285714285
mobility,3,0.4505282506605385,0.21095509230254839,0.21690656028822736,0.02266659806976268,0.09085714285714291,0.07142857142857142,0.14285714285714285
mobility,4,0.5933002563862572,0.2746914654430984,0.29106599494960694,0.027542795993551833,0.15499999999999983,0.05714285714285714,0.18571428571428572
combined,1,0.12777548106765393,0.05728236019358921,0.05968314695352254,0.010809973920542185,0.05928571428571428,0.11428571428571428,0.21428571428571427
combined,2,0.26873713895875834,0.12475434134073715,0.12786576551422263,0.016117032103798525,0.04828571428571437,0.14285714285714285,0.18571428571428572
combined,3,0.42665439815177564,0.19667931944720085,0.20835662975432173,0.021618448950253055,0.09814285714285714,0.08571428571428572,0.14285714285714285
combined,4,0.5779734275159106,0.2656807281987738,0.28552197689524456,0.026770722421892212,0.09985714285714284,0.04285714285714286,0.15714285714285714
