model,period,crps,overprediction,underprediction,dispersion,bias,n_origins
baseline,Summer relaxation,0.4665574643472483,0.008938099236466391,0.4400179833260896,0.017601381784692314,-0.8504999999999999,15
contacts,Summer relaxation,0.2816443879554171,0.06034368978725995,0.20587742306139592,0.015423275106761242,-0.4204999999999997,15
mobility,Summer relaxation,0.27666967846661816,0.05484513931842238,0.21178061362710854,0.010043925521087235,-0.1638333333333336,15
combined,Summer relaxation,0.22307729138772292,0.06304900549203968,0.14999890696684315,0.010029378928840094,0.009166666666666512,15
baseline,Autumn tiers,0.5860724560760372,0.5691763470461353,0,0.016896109029901882,0.993125,4
contacts,Autumn tiers,0.5424987459539727,0.5279146334258533,0,0.01458411252811948,0.99875,4
mobility,Autumn tiers,0.5081830830574879,0.49706643388550376,0,0.011116649171984211,0.993125,4
combined,Autumn tiers,0.5037597825789514,0.4931461342777409,0,0.010613648301210471,0.995,4
baseline,Lockdown 2,0.30256525323834776,0.20603482265999637,0.07156433661124,0.02496609396711139,0.21124999999999997,4
contacts,Lockdown 2,0.2867075949562701,0.1806281471374476,0.08485840573002973,0.021221042088792722,0.12312499999999993,4
mobility,Lockdown 2,0.6565777746352272,0,0.6383242054774669,0.01825356915776013,-0.99,4
combined,Lockdown 2,0.6104591281980497,0,0.5939441069067655,0.01651502129128427,-0.975,4
baseline,Winter tiers,0.3169452799348127,0.21840684055519874,0.07411285339677103,0.02442558598284291,0.3106250000000001,4
contacts,Winter tiers,0.31496402922341116,0.18007786028425438,0.10614000076536156,0.02874616817379522,0.22249999999999992,4
mobility,Winter tiers,0.36344179453440495,0.1883363240154553,0.15474331073460576,0.020362159784343865,-0.046875,4
combined,Winter tiers,0.33409784280474575,0.1508368927553469,0.16111392321610993,0.022147026833288914,-0.153125,4
baseline,Lockdown 3,0.45872840626906825,0.4217151412419876,0.006516531587565622,0.030496733439515006,0.6652777777777777,9
contacts,Lockdown 3,0.3605551884720745,0.2734150395495181,0.060196405782730965,0.02694374313982545,0.40777777777777796,9
mobility,Lockdown 3,0.22229316803967494,0.18703113781689942,0.014644991946691551,0.02061703827608394,0.48277777777777786,9
combined,Lockdown 3,0.26865878435237844,0.21176165141569148,0.03640764880850614,0.02048948412818087,0.31500000000000006,9
baseline,Staged reopening,0.4972314078831847,0.09402017236764625,0.3780125307044534,0.02519870481108499,-0.2801315789473683,19
contacts,Staged reopening,0.5164063874805747,0.1804738103259757,0.31216020919410126,0.023772367960497674,-0.08328947368421029,19
mobility,Staged reopening,0.4474717130854502,0.186827937651866,0.23548425559223465,0.025159519841349513,-0.035263157894737135,19
combined,Staged reopening,0.5122903929599224,0.202764062283533,0.2854664537873701,0.02405987688901925,-0.048421052631579205,19
baseline,Post-restrictions,0.2816701768189107,0.2182236789288913,0.04081552370157218,0.0226309741884472,0.3966666666666667,15
contacts,Post-restrictions,0.18147206951015063,0.13340873839252923,0.02833614702902304,0.019727184088598356,0.418,15
mobility,Post-restrictions,0.34255669712096637,0.21602481138145818,0.10153780066751814,0.024994085071990118,0.3603333333333334,15
combined,Post-restrictions,0.2152723259395974,0.13312692493426473,0.06021562655481433,0.021929774450518327,0.25516666666666665,15
