period,baseline,contacts,mobility,combined,n
Lockdown 1,-1.6560252738242738,-0.7530619569713852,0.0882829871739943,0.03364111037314401,10
Summer relaxation,0.16034208895457217,0.2300434662169019,0.03962291967870176,0.1169289226792595,152
Autumn tiers,0.10669356220507081,-0.1991430180757417,-1.0485856571090795,-0.895575007741903,24
Lockdown 2,-0.5526178200539521,-1.5242787668696087,-0.8725594874807623,-1.3399174794357434,28
Winter tiers,0.33949684603778657,0.4134396753822478,0.672263049885975,0.6398941471369274,33
Lockdown 3,-0.94405585852345,-0.09138526059145936,0.5292974212493365,0.5509526233652143,23
